brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
,Tênis Esporte Masculino Pronta Entrega Barato,66,90,61,54,4.4,(1285)
,Tênis Cross Tryd 5400 Academia Caminhada Confortável Leve,99,99,69,99,4.5,(1509)
FILA,Tênis Fila Euro Jogger Sport Masculino Bege,349,50,174,90,5.0,(6)
DIX, Tênis Maculino Academia Promoção R-4200 - Kit 2 Pares,139,90,132,90,4.2,(549)
OLYMPIKUS,Olympikus Casual Index 3 Masculino Adultos 43611218_1-004,189,99,150,09,4.8,(937)
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,78,90,71,01,4.5,(834)
,Tenis Para Caminhada Academia Corrida Treino - Leve E Macio,68,90,63,65,4.5,(222)
OLYMPIKUS,Tênis Masculino E Feminino Corre Trilha Olympikus Novo,599,99,500,99,5.0,(2)
ASCENSION,Tênis Ortopédico Masculino Feminino Asc Original Calce Fácil,129,90,106,51,4.7,(100)
OLYMPIKUS,Olympikus Treino Venum Sem gênero Adultos,168,29,16,36,4.8,(374)
OLYMPIKUS,Tênis Masculino Olympikus Cyber 4 Academia Caminhada,265,90,239,40,,
UNDER ARMOUR,Tênis Under Armour Charged Slight 2 Treino Caminhada Corrida,399,99,259,99,4.7,(16)
,Tenis Esporte Academia Corrida Caminhada Confortável Leve,69,90,6,79,4.5,(354)
UNDER ARMOUR,Tênis Under Armour Academia Caminhada Masculino Charged 2,262,49,209,99,4.8,(318)
T-SHOES,Tênis Extremecross Speed Trekking Trilha Ciclismo Corrida,174,49,151,80,4.5,(210)
OLYMPIKUS,Tênis Olympikus Dynamic Masculino Original Com Nota Fiscal,259,78,241,59,4.9,(152)
FILA,Fila Gear Masculino Adultos,249,99,184,99,4.8,(75)
OLDSEN,Tenis Unissex Infantil Jaguar Corrida Academia Treino 34-43,78,90,74,95,4.6,(817)
OLYMPIKUS,Tênis Neblina Olympikus Corrida Trilha Masculino Adulto,324,99,259,99,4.6,(38)
OLYMPIKUS,Olympikus Marte Masculino Adultos,159,99,15,55,4.7,(238)
LYND,Tênis Esportivo Masculino Corrida Caminhada- Vent 424,199,90,149,92,4.4,(83)
,Tenis Sport Titanium  Original - Esportivo,78,90,61,75,4.5,(3410)
OLYMPIKUS,Tênis Masculino Olimp Treino Academia Leve Macio - Olympikus,229,99,188,59,4.8,(609)
ACTVITTA,Tênis Masculino Calce Fácil Slip On Esportivo Original,129,88,97,41,4.5,(41)
FILA,Fila Recovery Masculino Adultos,407,90,265,05,4.7,(2054)
FILA,Tênis Fila Racer Nairobi Preto Cinza E Verde - Masculino,379,99,296,39,4.6,(38)
OLYMPIKUS,Tenis Masculino Olympikus Proof ,247,85,188,36,4.8,(244)
OLYMPIKUS,Tênis Olympikus Cyber Original,259,99,185,25,,
OLYMPIKUS,Tênis Masculino Olimp Confortável Corrida E Caminhada Macio,229,30,160,58,4.8,(1827)
ASICS,Asics Gel-Rocket 10 Masculino Adultos,549,90,54,,4.6,(124)
WM,Tenis Revelation Masculino Feminino Promoção Pronta Entrega,109,99,10,69,4.5,(59)
OLYMPIKUS,Tênis Masculino Olympikus Estilo Esportivo Caminhada,274,99,217,79,4.7,(87)
OLDSEN,Tenis Masculino Infantil Jaguar De Corrida Academia 34-43,78,90,63,12,4.6,(561)
OLYMPIKUS,Tênis Masculino Olympikus Marte,199,98,189,98,4.7,(20)
UNDER ARMOUR,Tênis Sport Under Armour Charged Skyline 4 Original Treino,412,49,329,99,5.0,(3)
PUMA,Puma Cell Divide V2 BDP Masculino Adultos,499,90,331,54,4.7,(69)
ADIDAS,Tênis Masculino Moda Estilo Conforto Academia Treino Crosfit,399,99,351,99,,
DM DAMANDO,Kit Tenis Confortavel Masculino P/academia Corrida + Relógio,78,90,26,30,4.6,(181)
OLYMPIKUS,Olympikus Jogging 100 Masculino Adultos,174,80,34,,4.5,(56)
OLYMPIKUS,Tênis Masculino Olympikus Original Academia Preto Adulto ,212,49,159,60,4.7,(778)
OLYMPIKUS,Tênis Olympikus Masculino Volcan Original,211,10,168,88,4.6,(145)
ASCENSION,Tenis Masculino Leve Confotavel Dia A Dia Para Treino,109,90,36,63,4.5,(136)
OLYMPIKUS,Tenis Masculino Olympikus Beats Supporter Evasense - Oficial,377,85,251,75,4.8,(48)
OLYMPIKUS,Olympikus Diffuse 5 Masculino Adultos,239,99,34,28,4.8,(303)
